"time","m1","m2","m3","trend","time2problem","light","floor","gripper","edgeORboundary"
20.75,0.950333185,0.444261522,0.752453312,same trend,4.75,none,none,gripper , 
21,0.943172829,0.454744696,0.748672268,same trend,4.5,none,none,gripper , 
21.25,0.945455307,0.4461019,0.749068833,same trend,4.25,none,none,gripper , 
21.5,0.952794083,0.453608176,0.745473603,same trend,4,none,none,gripper , 
21.75,0.940435997,0.446486279,0.741940951,same trend,3.75,none,none,gripper , 
22,0.947405145,0.450997349,0.737669279,same trend,3.5,none,none,gripper , 
22.25,0.946003749,0.456455665,0.73497536,same trend,3.25,none,none,gripper , 
22.5,0.953430035,0.447822024,0.73225358,same trend,3,none,none,gripper , 
22.75,0.958371771,0.446324659,0.728350814,same trend,2.75,none,none,gripper , 
23,0.953735617,0.453446877,0.725506796,same trend,2.5,none,none,gripper , 
23.25,0.95151678,0.450342649,0.721640674,same trend,2.25,none,none,gripper , 
23.5,0.950899438,0.452651552,0.717065345,same trend,2,none,none,gripper , 
23.75,0.948095771,0.454154447,0.714524384,same trend,1.75,none,none,gripper , 
24,0.941183967,0.450063262,0.709421686,same trend,1.5,none,none,gripper , 
24.25,0.933621084,0.447352993,0.707446652,same trend,1.25,none,none,gripper , 
24.5,0.930304406,0.450358014,0.703183914,same trend,1,none,none,gripper , 
24.75,0.929535898,0.449236855,0.700346478,same trend,0.75,none,none,gripper , 
25,0.924532477,0.448854305,0.69620078,same trend,0.5,lighting ,none,gripper , 
25.25,0.920489637,0.443270629,0.691617201,same trend,0.25,lighting ,none,gripper , 
25.5,0.917376918,0.446113117,0.688342737,new trend,0,lighting ,none,gripper ,b
25.75,0.914643876,0.446077419,0.685174176,same trend,-0.25,lighting ,none,gripper , 
26,0.91228246,0.44853846,0.680962764,same trend,-0.5,lighting ,none,gripper , 
26.25,0.908871531,0.454517266,0.677240142,same trend,-0.75,lighting ,none,gripper , 
26.5,0.909319626,0.454225953,0.672801061,new trend,0,lighting ,none,gripper ,b
26.75,0.907003966,0.448123878,0.669983297,same trend,-0.25,lighting ,none,gripper , 
27,0.903122907,0.447652963,0.668068025,same trend,-0.5,lighting ,none,gripper , 
27.25,0.900327241,0.452075633,0.665853219,same trend,-0.75,lighting ,none,gripper , 
27.5,0.895630995,0.453849662,0.662689089,same trend,-1,lighting ,none,gripper , 
27.75,0.890280888,0.455535775,0.658609077,same trend,-1.25,lighting ,none,gripper , 
28,0.888746687,0.446931987,0.655734711,same trend,-1.5,lighting ,none,gripper , 
28.25,0.887271604,0.449293829,0.650663727,same trend,-1.75,lighting ,none,gripper , 
28.5,0.885464969,0.459472053,0.647546469,same trend,-2,lighting ,none,gripper , 
28.75,0.882595827,0.446267445,0.644279396,same trend,-2.25,lighting ,none,gripper , 
29,0.8753908,0.454348173,0.642480089,same trend,-2.5,lighting ,none,gripper , 
29.25,0.869769417,0.454975835,0.640353197,same trend,-2.75,lighting ,none,gripper , 
29.5,0.86602488,0.451414656,0.63773512,same trend,-3,lighting ,none,gripper , 
29.75,0.866437842,0.444259214,0.635571969,same trend,-3.25,lighting ,none,gripper , 
30,0.863012192,0.44650466,0.631266441,same trend,-3.5,lighting ,none,gripper , 
30.25,0.85604249,0.445482418,0.627043616,same trend,-3.75,lighting ,none,gripper , 
30.5,0.855207736,0.456100646,0.623633506,same trend,-4,lighting ,none,gripper , 
30.75,0.853579586,0.451769692,0.619041702,same trend,-4.25,lighting ,none,gripper , 
31,0.848022963,0.454206665,0.61580844,same trend,-4.5,lighting ,none,gripper , 
31.25,0.841868457,0.447056861,0.613444123,same trend,-4.75,lighting ,none,gripper , 
31.5,0.836992011,0.443487581,0.61013418,new trend,0,lighting ,none,gripper ,b
31.75,0.832156997,0.451336038,0.608466212,same trend,-0.25,lighting ,none,gripper , 
32,0.828060991,0.445550385,0.605655126,same trend,-0.5,lighting ,none,gripper , 
32.25,0.821423849,0.443927393,0.604375318,same trend,-0.75,lighting ,none,gripper , 
32.5,0.817495929,0.437096021,0.601712822,same trend,-1,lighting ,none,gripper , 
32.75,0.811097768,0.448713209,0.599940523,same trend,-1.25,lighting ,none,gripper , 
33,0.808930262,0.456218525,0.596832157,same trend,-1.5,lighting ,none,gripper , 
33.25,0.804988703,0.448347443,0.59352599,same trend,-1.75,lighting ,none,gripper , 
33.5,0.800448728,0.452203653,0.592044396,same trend,-2,lighting ,none,gripper , 
33.75,0.798319628,0.454021506,0.587526227,same trend,-2.25,lighting ,none,gripper , 
34,0.794898066,0.457937261,0.585049056,same trend,-2.5,lighting ,none,gripper , 
34.25,0.791928247,0.441066123,0.583785797,same trend,-2.75,lighting ,none,gripper , 
34.5,0.786449825,0.454637958,0.581556807,same trend,-3,lighting ,none,gripper , 
34.75,0.786896875,0.450035477,0.579589184,same trend,-3.25,lighting ,none,gripper , 
35,0.782567423,0.453904511,0.57501949,same trend,-3.5,lighting ,none,gripper , 
35.25,0.778837049,0.44770914,0.570363672,same trend,-3.75,lighting ,none,gripper , 
35.5,0.776513225,0.439879922,0.567807567,same trend,-4,lighting ,none,gripper , 
35.75,0.775130014,0.450517829,0.564447446,same trend,-4.25,lighting ,none,gripper , 
36,0.773153842,0.448069133,0.562106872,same trend,-4.5,lighting ,none,gripper , 
36.25,0.771026367,0.453071762,0.559138586,same trend,-4.75,lighting ,none,gripper , 
36.5,0.76869947,0.4393208,0.555603256,same trend,-5,lighting ,none,gripper , 
36.75,0.765253189,0.443063081,0.552575851,same trend,-5.25,lighting ,none,gripper , 
37,0.756921944,0.448545327,0.548870526,same trend,-5.5,lighting ,none,gripper , 
37.25,0.752017732,0.448156832,0.546525716,same trend,-5.75,lighting ,none,gripper , 
37.5,0.747549647,0.452593927,0.542734676,same trend,-6,lighting ,none,gripper , 
37.75,0.744728418,0.438826898,0.540312529,same trend,-6.25,lighting ,none,gripper , 
38,0.7399439,0.444258957,0.536404725,same trend,-6.5,lighting ,none,gripper , 
38.25,0.735747276,0.437304443,0.533205626,same trend,-6.75,lighting ,none,gripper , 
38.5,0.735503868,0.445313349,0.529459275,same trend,-7,lighting ,none,gripper , 
38.75,0.732409555,0.448326798,0.526358091,same trend,-7.25,lighting ,none,gripper , 
39,0.728538807,0.457471646,0.52145133,same trend,-7.5,lighting ,none,gripper , 
39.25,0.725254514,0.448509349,0.516545886,same trend,-7.75,lighting ,none,gripper , 
39.5,0.720961178,0.456794796,0.513834919,same trend,-8,lighting ,none,gripper , 
39.75,0.714761411,0.449156866,0.510636905,same trend,-8.25,lighting ,none,gripper , 
40,0.710389382,0.445108363,0.507646806,same trend,-8.5,lighting ,none,gripper , 
40.25,0.708129804,0.448291889,0.503927862,same trend,-8.75,lighting ,none,gripper , 
40.5,0.703146687,0.452817856,0.502435821,same trend,-9,lighting ,none,gripper , 
40.75,0.699625416,0.445537617,0.499424124,same trend,-9.25,lighting ,none,gripper , 
41,0.698124305,0.454531726,0.496884075,same trend,-9.5,lighting ,none,gripper , 
41.25,0.696056937,0.458065984,0.49341072,same trend,-9.75,lighting ,none,gripper , 
41.5,0.689418258,0.448373603,0.491493531,same trend,-10,lighting ,none,gripper , 
41.75,0.686121602,0.45109433,0.489032223,same trend,-10.25,lighting ,none,gripper , 
42,0.683742115,0.446526983,0.486312539,same trend,-10.5,lighting ,none,gripper , 
42.25,0.681977888,0.452711091,0.481159182,same trend,-10.75,lighting ,none,gripper , 
42.5,0.679373323,0.446077446,0.47855186,same trend,-11,lighting ,none,gripper , 
42.75,0.67614732,0.457045254,0.47803053,same trend,-11.25,lighting ,none,gripper , 
43,0.671873599,0.449856895,0.475164871,same trend,-11.5,lighting ,none,gripper , 
43.25,0.667288645,0.451491184,0.471975643,same trend,-11.75,lighting ,none,gripper , 
43.5,0.662232041,0.45058241,0.468035579,same trend,-12,lighting ,none,gripper , 
43.75,0.659993634,0.449095295,0.466196979,same trend,-12.25,lighting ,none,gripper , 
44,0.651592907,0.448604419,0.462891816,same trend,-12.5,lighting ,none,gripper , 
44.25,0.646815701,0.449575307,0.460043083,same trend,-12.75,lighting ,none,gripper , 
44.5,0.640877713,0.458022049,0.456738169,same trend,-13,lighting ,none,gripper , 
44.75,0.637544685,0.448630543,0.455245446,same trend,-13.25,lighting ,none,gripper , 
45,0.633694914,0.442686374,0.452239639,same trend,-13.5,lighting ,none,gripper , 
45.25,0.631621521,0.456379453,0.450086689,same trend,-13.75,lighting ,none,gripper , 
45.5,0.630208506,0.445599494,0.448447227,same trend,-14,lighting ,none,gripper , 
45.75,0.625736918,0.454262971,0.444908415,same trend,-14.25,lighting ,none,gripper , 
46,0.623194365,0.454383824,0.441139212,same trend,-14.5,lighting ,none,gripper , 
46.25,0.616051783,0.456796042,0.437721434,same trend,-14.75,lighting ,none,gripper , 
46.5,0.614466021,0.449270263,0.433798079,same trend,-15,lighting ,none,gripper , 
46.75,0.609739614,0.444219692,0.431112238,same trend,-15.25,lighting ,none,gripper , 
47,0.601049225,0.46131891,0.429580003,same trend,-15.5,lighting ,none,gripper , 
47.25,0.599671128,0.446361422,0.426525347,same trend,-15.75,lighting ,none,gripper , 
47.5,0.597095749,0.453148127,0.425221833,same trend,-16,lighting ,none,gripper , 
47.75,0.590809735,0.457524232,0.422750296,same trend,-16.25,lighting ,none,gripper , 
48,0.588047373,0.449858583,0.418947587,same trend,-16.5,lighting ,none,gripper , 
48.25,0.585407308,0.458327661,0.41704817,same trend,-16.75,lighting ,none,gripper , 
48.5,0.580870127,0.449595015,0.413834253,same trend,-17,lighting ,none,gripper , 
48.75,0.576160976,0.447093542,0.411279484,same trend,-17.25,lighting ,none,gripper , 
49,0.570292159,0.445441587,0.406779038,same trend,-17.5,lighting ,none,gripper , 
49.25,0.564534446,0.454573044,0.402476668,same trend,-17.75,lighting ,none,gripper , 
49.5,0.561154759,0.448485786,0.4,same trend,-18,lighting ,none,gripper , 
49.75,0.560989286,0.449658086,0.400108688,same trend,-18.25,lighting ,none,gripper , 
50,0.560548626,0.450742098,0.399156511,same trend,-18.5,lighting ,none,gripper , 
50.25,0.554339695,0.457459326,0.400185395,same trend,-18.75,lighting ,none,gripper , 
50.5,0.552160532,0.451149812,0.39935944,same trend,-19,lighting ,none,gripper , 
50.75,0.546600381,0.442198467,0.400026737,same trend,-19.25,lighting ,none,gripper , 
51,0.541203497,0.452118893,0.400392534,same trend,-19.5,lighting ,none,gripper , 
51.25,0.536487188,0.445074571,0.399527485,same trend,-19.75,lighting ,none,gripper , 
51.5,0.532034847,0.446963499,0.399180557,new trend,0,lighting ,none,gripper ,e
51.75,0.530113755,0.457291725,0.399287486,same trend,-0.25,lighting ,none,gripper , 
52,0.522001877,0.443255449,0.399723268,same trend,-0.5,lighting ,none,gripper , 
52.25,0.51669808,0.446930478,0.399994104,same trend,-0.75,lighting ,none,gripper , 
52.5,0.514583202,0.454067092,0.399098023,same trend,-1,lighting ,none,gripper , 
52.75,0.512212967,0.443187219,0.400769107,same trend,-1.25,lighting ,none,gripper , 
53,0.510504149,0.453647486,0.399999843,new trend,0,lighting ,none,gripper ,e
53.25,0.504547671,0.4490793,0.400522803,same trend,-0.25,lighting ,none,gripper , 
53.5,0.501962335,0.453549201,0.400324351,same trend,-0.5,lighting ,none,gripper , 
53.75,0.50160119,0.444508472,0.398838886,same trend,-0.75,lighting ,none,gripper , 
54,0.501407187,0.452115317,0.400118103,same trend,-1,lighting ,none,gripper , 
54.25,0.497225348,0.453430129,0.399445329,same trend,-1.25,lighting ,none,gripper , 
54.5,0.494637968,0.450151693,0.399876258,same trend,-1.5,lighting ,none,gripper , 
54.75,0.49360577,0.44650087,0.399856446,same trend,-1.75,lighting ,none,gripper , 
55,0.490103134,0.441718724,0.399600516,same trend,-2,lighting ,none,gripper , 
55.25,0.488967144,0.444687211,0.400794457,same trend,-2.25,lighting ,none,gripper , 
55.5,0.482709233,0.445366254,0.400126207,same trend,-2.5,lighting ,none,gripper , 
55.75,0.480308361,0.446765407,0.399212311,same trend,-2.75,lighting ,none,gripper , 
56,0.476161055,0.447558859,0.400172416,new trend,0,lighting ,none,gripper ,e
56.25,0.474951672,0.452318694,0.400332843,same trend,-0.25,lighting ,none,gripper , 
56.5,0.473229587,0.445653253,0.399465198,same trend,-0.5,lighting ,none,gripper , 
56.75,0.474875326,0.446289443,0.400441736,same trend,-0.75,lighting ,none,gripper , 
57,0.473045986,0.444873861,0.399585923,same trend,-1,lighting ,none,gripper , 
57.25,0.467096679,0.448502401,0.399607948,same trend,-1.25,lighting ,none,gripper , 
57.5,0.464577321,0.457702543,0.40011286,same trend,-1.5,lighting ,none,gripper , 
57.75,0.46065207,0.438148988,0.399786906,same trend,-1.75,lighting ,none,gripper , 
58,0.456281689,0.441455282,0.400391806,same trend,-2,lighting ,none,gripper , 
58.25,0.453550602,0.452262713,0.40048649,same trend,-2.25,lighting ,none,gripper , 
58.5,0.448430707,0.449957105,0.399207343,same trend,-2.5,lighting ,none,gripper , 
58.75,0.444703245,0.455495578,0.400088115,same trend,-2.75,lighting ,none,gripper , 
59,0.44004572,0.461548913,0.399612315,same trend,-3,lighting ,none,gripper , 
59.25,0.435516421,0.449057931,0.400215912,same trend,-3.25,lighting ,none,gripper , 
59.5,0.433370004,0.456158584,0.399698043,same trend,-3.5,lighting ,none,gripper , 
59.75,0.431181814,0.445722104,0.400477885,same trend,-3.75,lighting ,none,gripper , 
60,0.430315918,0.453219509,0.401355711,same trend,-4,lighting ,none,gripper , 
60.25,0.429364112,0.444003046,0.399624468,same trend,-4.25,lighting ,none,gripper , 
60.5,0.422524475,0.448535473,0.399324184,same trend,-4.5,lighting ,none,gripper , 
60.75,0.419502257,0.446071365,0.400417002,same trend,-4.75,lighting ,none,gripper , 
61,0.415687695,0.448817077,0.399908863,same trend,-5,lighting ,none,gripper , 
61.25,0.410122315,0.445884581,0.399880486,same trend,-5.25,lighting ,none,gripper , 
61.5,0.408355945,0.449200188,0.400354711,same trend,-5.5,lighting ,none,gripper , 
61.75,0.40446241,0.446739722,0.399640725,same trend,-5.75,lighting ,none,gripper , 
62,0.403528023,0.453545991,0.399452861,same trend,-6,lighting ,none,gripper , 
62.25,0.394876426,0.453608839,0.399788673,same trend,-6.25,lighting ,none,gripper , 
62.5,0.389451621,0.452875319,0.400663244,same trend,-6.5,lighting ,none,gripper , 
62.75,0.40985159,0.447130036,0.399682053,same trend,-6.75,lighting ,none,gripper , 
63,0.390346505,0.449324152,0.399934176,same trend,-7,lighting ,none,gripper , 
63.25,0.401470928,0.448088998,0.39987968,same trend,-7.25,lighting ,none,gripper , 
63.5,0.391216239,0.442735154,0.400328216,same trend,-7.5,lighting ,none,gripper , 
63.75,0.393020497,0.453541108,0.400140506,same trend,-7.75,lighting ,none,gripper , 
64,0.400084105,0.451926192,0.399334083,same trend,-8,lighting ,none,gripper , 
64.25,0.39465048,0.452089051,0.40027805,same trend,-8.25,lighting ,none,gripper , 
64.5,0.391938978,0.44808901,0.40097605,same trend,-8.5,lighting ,none,gripper , 
64.75,0.410614032,0.445251791,0.400715736,same trend,-8.75,lighting ,none,gripper , 
